,Beer Names,Rating,Locations,Reviews,Users
77,Cotleigh Buzzard ,4.0,"Wiveliscombe, Somerset","Loved this! Pint with Kieran in the spoons. 

Classic old ale. Heavy, thick, drinkable with all of these leather touches mixed in with malt and caramel. 

Pours a deep copper, thick stew like. Lovely flavour boarding on a porter with these coffee touches and old furniture. All the same it's drinkable. Very very smooth. 

Top notch.",moatemalt
78,FrauGruber / Dry & Bitter Slaves Of Convenience,3.4,"Gundelfingen , Bavaria","On tap at 100 Piv Bratislava. Murky yellow/orange coloured, medium sized white to off-white head, citrus and mild tropical fruits in the nose. Sweet malty, fruity, light citrus and dank with notes of alcohol in the finish.",ogivlado
79,Worthy Subatomic,3.2,"Bend, Oregon","Draught. Pours clear black with a medium, frothy off-white head, short retention. Medium rich roast and caramel malt, dates and figs, light hop bitterness, and a medium dry finish. Medium body and carbonation.",BeerandBlues2
80,Krombacher Pils,3.0,"Kreuztal-Krombach, North Rhine-Westphalia","Easy sweet pils. 
Pours a lovely golden straw colour with a lasting head. Rich malt smell, toffee touches. A sweet pils for sure. 

Taste follows, easy pils, not too much to get excited about but it's a quality brew. Would have this again no problem on a hot day.",moatemalt
81,Samuel Smiths Organic  Apricot  Fruit Beer,3.7,"Tadcaster, North Yorkshire","355ml bottle. Amber colour with white head. Big sweet apricot, malty, sweet wheaty, sweet apricot jam, floral, light honey, light citrus, light tartness, light white sugar, light bitterness. Not super complex but v refreshing + drinkable, lots of sweet apricot but not in an artificial way, nice",coil
82,Helltown lawful evil,3.8,"Mount Pleasant, Pennsylvania","Can. Dark golden, slightly cloudy. Hop aroma with some malt.  Really good. Strong, with good but not the very strong hop flavor many DIPAs have.",MattShizzle
83,Worthy Worthy and Wise,3.4,"Bend, Oregon","Draught. Pours clear golden orange with a medium, frothy white head, long retention with good lacing. Medium herbal coffee, spicy notes, medium dough malt, and a dry finish. Light body and medium carbonation.",BeerandBlues2
84,Pipe Dream CT Crunch Stout,3.5,"Londonderry , New Hampshire","Pours thick black with thin dark tan head. Aroma is cocoa, maple syrup, roast and cinnamon. Taste is chocolate, maple syrup and brown sugar, moving to cinnamon and roast. Finish is chocolate, maple syrup and cinnamon.",GregMooreNH
85,Worthy Sol Power Pils,3.4,"Bend, Oregon","Draught. Pours clear yellow with a medium, frothy white head, long retention with good lacing. Medium rich biscuit malt, medium citrus hops and hop bitterness, a clean lager character, and a dry finish. Light body and medium carbonation.",BeerandBlues2
86,Budweiser,2.5,"St. Louis, Missouri","Banana, light hoppyness, refreshing and sweet. This beer is completely drinkable and doesn't deserve this hate. A zero? No Lol...",PubMeister30
87,Track 7 Poor Pitiful Me,3.9,"Sacramento, California",Can from Cap Tap. Pours clear gold with a thick white head and a citrus aroma. There is a near full-bodied pale malt flavor with with a very bitter finish.,marcus
88,Chaos Mountain Squatch Ale,3.7,"Callaway, Virginia","6 pack of 12 ounce bottles from a Kroger in Roanoke. Date stamp is 01-09-2020, I assume this is a bottling date and not a bb date. Pours a slightly hazy, copper-chestnut color with an enduring film of cream. Nose of toffee, earthy peat, toasted nut, orange and a whiff of sourish apple. Flavors of the same stuff with more from the apple than indicated in the aroma. Medium bodied with a pleasant, low-medium carbonation and a nice balance. Mild astringency from the peat plus pithy hop notes help to dry the big malts quite well at the finish.",nearbeer
89,Contrary Oak Syvyys,4.0,"Muscatine, Iowa","Black appearance with a bubbly tan head. Aroma of toasted oak, roasted malt, bitter chocolate and light earthy notes. Similar flavor, oaky and roasty with mild sweetness and mild bitterness. Medium to full body with a soft feel and a lingering woody finish.",ajnepple
90,Pressure Drop Slumber,3.8,"Tottenham Hale, Greater London","440ml can from We Brought Beer, Balham.  Black with a tan head.  Aroma of vanilla, coffee, roasted malt, treacle and dark sugar.  They really nailed this flavour-wise.  Neither too strong on the vanilla, the lactose nor the coffee.  Just a really nice beer, with lovely nuance of flavour.",Beese
