,Beer Names,Rating,Locations,Reviews,Users
862,Stonehouse Ballast Porter,3.3,"Oswestry, Shropshire",På GBBF Winter 2020 i Birmingham. Delt med Rune. Svart. Filmskum med litt farge. Aroma av røstet malt. Smaken balansert. Melkesjokolade & lakris. Lett tørr avslutning.,Finn
863,Left Handed Giant / Alesong Why I Love the Moon,3.4,"Bristol, Gloucestershire","From tap at Bierrevier, Basel. Very hazy wine-red color with a pinkish white head. Aroma of berry syrup, black currant, blueberries and blackberries. Medium body with an average carbonation, a light acidity, a light tartness, a very light residual sweetness and a light salinity. Flavor of ripe berries, blueberries, black currant, hints of dark cherries and hints of yogurt. Finishes with some residual berries, blueberries.

Aroma: 7
Appearance: 4
Taste: 7
Palate: 4
Overall: 12",PowY
864,Gipsy Hill / Northern Monk Refectory,3.8,"West Norwood, Greater London","Double-mashed NEIPA hopped with Citra and Mosaic, at Nieuwjaarsreceptie Gentse Biervereniging.  Egg-white, mousy, open, rather thin and irregular head, cloudy to even 'milky' apricot-hued 'yolk yellow' blonde.  Aroma of mango juice, moldy oranges, diesel, damp marijuana, dough, overripe Zespri kiwi.  Sweet onset with a sourish edge, lots mango juice, granadilla and starfruit 'tropicality', very juicy with medium fizz, doughy, soft malt body with honeyish sweetness continuing, until a very dank and very sultry hoppiness takes over, quite citric and refreshing but with again lots of ripe mango and papaja as well; some warming alcohol and a light 'green' hop bitterness are noticeable in the finish.  Does its job as a present-day hazy IPA.",Alengrin
865,Hofbräu Oberle 20er,3.6,"Erlangen-Kosbach, Bavaria","On tap at the brewpub. A clear dark orange brown beer with a beige head. Aroma of dark caramelized malt and some liquorice. Taste of mild roasted dark malt, toffee, liquorice. Okay!",Beerhunter111
866,St. Ives Knill by Mouth Cornish Pale Ale,2.9,"St. Ives, Cornwall",På GBBF Winter 2020 i Birmingham. Delt med Rune. Gyldenbrun. Filmskum. Litt uklar. Nøttearoma. Smaken nøtter & tørket frukt. Tørr bitter avslutning.,Finn
867,Zapfbräu Helles,2.9,"Uettingen, Bavaria","On tap at the brewpub. A slightly hazy bright golden beer with a white head. Aroma of spicy hops, pale malt, straw. Taste of moderate sweet pale malt, straw, soft metallic hops.",Beerhunter111
868,BREXX Hopfenfreak Pale Ale - Amarillo,3.8,"Höhr-Grenzhausen, Rhineland-Palatinate","On tap at the brewpub. A clear amber beer with a white lacing. Aroma of bitter orange fruits, grapefruit, zest. Taste of fresh fruity hops, orange fruits, zest, grapefruit.",Beerhunter111
869,BREXX Stout,3.8,"Höhr-Grenzhausen, Rhineland-Palatinate","On tap at the brewpub. A dark brown beer with a beige head. Aroma of sweet dark malt, liquorice, toffee. Taste of dark roasted malt, coffee, chocolate, some liquorice. Good!",Beerhunter111
870,BREXX Wildrausch,3.4,"Höhr-Grenzhausen, Rhineland-Palatinate","On tap at the brewpub. A murky orange golden beer, no head. Aroma of tart red fruits, berries, brett, honey. Taste of sour red fruits, grapes, wine, honey, herbs. Interesting!",Beerhunter111
871,North Brewing Co / Gamma IPA - Papaya + Guava,4.2,"Leeds, West Yorkshire","27/IX/19 - on tap @ Borefts Day 1, BB: n/a - (2019-1563) Thanks to the international RateBeer Crew for sharing today's beers!

Very cloudy orange to beige beer, no head. Aroma: oh my, super fruity, very intense, dank  hops, lots of tropical fruits, lovely stuff! MF: ok carbon, mediu mbody. Taste: very fruity, lots of super dank and almost sourish hops, super fruity, some hop burn, man, what a great ipa this is!",tderoeck
872,Duration Sweeping Coast,3.5,"West Acre, Norfolk","Keg at Brewdog Canary wharf. A clear golden coloured pour with a loose white head. Aroma is light grassy otsnge, corn, midget gems hop, tangerine. Flavour is composed of dry grains, bresdy, orange rind, light grass, mineral. Palate is semi sweet, crisp, highish carbonation, semi dry finish. Decent.",mR_fr0g
873,Three Hills Legacy Sekhmet,3.7,"Woodford, Northamptonshire","Can from Hoptimism. Lightly hazy deep amber colour with a thick off white head. Aroma earthy, light spice and slight fruity. Taste dry and fruity sweet. Full body.",Mr_Pink_152
874,Flügge Fränk,3.3,"Frankfurt am Main, Hesse","From tap at Bierrevier, Basel. Hazy pale yellow color with a white head. Aroma of ripe passion fruit, fruit jelly, some peach, nectarines and some floral notes. Light to medium body with a light to medium acidity, a light tartness and a light bitterness. The flavor starts acidic with citric notes, passion fruit, pineapple and some metallic notes. Finishes dry and lightly bitter. Not entirely balanced.

Aroma: 7
Appearance: 4
Taste: 7
Palate: 3
Overall: 12",PowY
875,Siren Suspended in Blanc,3.8,"Finchampstead, Berkshire","Bue à la pression. Couleur jaune claire trouble. Mousse fine et pas mal tenace. Nez bien bien houblonné avec des notes d'ananas et de résineux tout en douceur. En bouche le corps est léger sans être trop aqueux. L'aromatique est aussi balèze qu'au nez, toujours ananas, un peu mangue, un peu résineux. Vraiment très cool !",AssKicker
876,Sperrin Thick As Thieves,3.0,"Nuneaton, Warwickshire",På GBBF Winter 2020 i Birmingham. Delt med Rune. Svart. Skumring med litt farge. Lakrisaroma. Smaken tørr sjokolade/kakao. Veldig tørr avslutning.,Finn
877,Camden Town Camden Ink,3.7,"Ponders End, Greater London","Guinness style nitro stout, light, dry, drinkable. All around good. Pint Shop birmingham",bdleedahl
878,Oud Beersel Oude Geuze Barrel Selection Foeder 21,3.8,"Beersel, Belgium","Bottle. Color: Slightly hazy golden, large frothy white head. Aroma: Funky, tart grapes, old hop. Taste: Over moderate tart, white grapes, grapeskin, tannins, some wood and citrus, hints of stone fruit and wheat. Some old hop too. Starting a bit dull but getting better towards and at the finish. Medium body, below average carbonation. Quite a lot of tannins at the finish. Dry-ish mouthfeel. Pretty smooth. Nice one.",EvNa
879,Laagwater Blond,4.0,"Ertvelde, Belgium","04-02-2020; bottle; at home (bought at de Bodega, Capelle Aan den IJssel, The Netherlands).
04-02-2020; bottle; at home (bought at de Bodega, Capelle Aan den IJssel, The Netherlands).
The looks of the beer are nice. It is a decent looking Belgian Blond. The colour is a nice golden yellow, with a pleasant amber touch. It glows golden. It has a slight haziness. On top of the beer a nice smooth layer of white foam is formed. Foam retention is average. A nice drape is left on top of the beer. It looks very pleasant. 
The aroma of the beer is very nice. It is a typical Belgian Ale. The malts are nice and a bit caramel and also fruity. Touch of bread is there too. Very pleasant. The hops are floral and a bit herbal. The floral bouquet goes well with the malt notes. The herbal notes go well with the yeast aromas. These are spicy and also fruity, with some typical notes of banana. Very pleasant. 
The taste of the beer also is very nice. It is perfectly balanced. The malts are sweet and the creamy yeast gives an extra nice smooth touch to this. The hops are nice and bitter. The bitters and sweets are in perfect harmony. Really good. The palate of the beer is nice too. Medium body, smooth texture and very nice high carbonation. The finish of the beer is nice and is filled with smooth and subtle floral and herbal hop notes and some of that spicy yeast. All in all, a very nice beer. Absolutely more towards the top of the specter than the bottom. I like it.",Gangstergafje
880,North Brewing Co / Basqueland Imperial Stout,3.9,"Leeds, West Yorkshire",Cask at home .. Dark Blck .. massive tan head ... soft meaty chocolate roast malt nose ... dark berryies .. rich roast ... little odd somethings ... maybe a little coffee .. dark malts .. but quite odd,cgarvieuk
881,Sperrin Head Hunter,3.2,"Nuneaton, Warwickshire",På GBBF Winter 2020 i Birmingham. Delt med Rune. Gyldenbrun. Luftig filmskum. Lett fruktaroma. Smaken tørket tropisk frukt. Behagelig tørr bitter avslutning.,Finn
882,Schneeeule Yasmin,3.4,"Berlin, Berlin","From tap at Bierrevier, Basel. Hazy pale yellow color with a white head. The aroma is lightly herbal and lightly grassy with some grains, wheat, elderflower and mild brett. Light body with an average carbonation, a medium acidity and a light tartness. The flavor starts acidic and lactic with sour lemon, light leathery notes and hints of yasmin blossoms. Finishes dry and lightly tart with faint notes of wheat. Overall refreshing - good.

Aroma: 7
Appearance: 3
Taste: 7
Palate: 3
Overall: 14",PowY
883,Lincoln Green Quarterstaff,3.2,"Hucknall, Nottinghamshire","Cask at the Queens Head.  Pours very dark brown with a small head.  Aroma is chocolate, a little coffee and roast. 
Taste has roast, liquorice and some chocolate.",tommann
884,Salopian Meraki,3.7,"Hadnall, Shropshire","Cask at the Waggon & Horses, Stourbridge.  Pours jet black with a medium head.  Aroma is roast, chocolate and vanilla.  Taste has chocolate, coconut and vanilla with a blackcurrant hop finish.",tommann
885,Track Tremola,2.9,"Manchester, Greater Manchester","Vi er benket langs bordet og selvsagt topp motiverte for nok en kveld med inntak av primærprofylakse, rundhåndet distribuert av seremonimester Melberg, feb-20: etter Track Sonoma ble denne en nedtur. Overmoden ananas, syregress, lett besk grapefrukt, kål og noen halvvisne urter. Tørr og litt besk avslutning. Humlene skal være Ekuanot, Citra og Mandarina Bavaria. Mandarinahumlen kjente jeg ikke så mye som et snev av. Fra fat, helt uklar strågul med ok skum.",Holmen1
886,Sperrin Ansley Mild,2.5,"Nuneaton, Warwickshire","På GBBF Winter 2020 i Birmingham. Delt med Rune. Ultramørkebrun / svart. Filmskum med litt farge. Aroma av karamell & overmoden frukt. Smaken som aromaen. Litt kjedelig. Lett tørr, fruktig avslutning.",Finn
887,Schneeeule Alte,3.5,"Berlin, Berlin","From tap at Bierrevier, Basel. Vintage 2019. Hazy light golden color with no head. The aroma is funky - leather, wood, white grapes, brett, some lemon peel, some elderflower. Light body with a low to average carbonation, a medium-heavy acidity and a light tartness. The flavor starts acidic with citric notes, lactic acidity and unripe berries. Finishes dry, lightly wheaty and lightly tart. Overall sour and refreshing with a nice complexity. 

Aroma: 8
Appearance: 2
Taste: 7
Palate: 3
Overall: 15",PowY
888,Goldstar Unfiltered,2.7,"Netanya, Israel",(Bottle) Pours hazy brown with tiny white head. Aroma vaguely of toffee. Medium body with good bright carbonation. Rather watery taste with notes of toffee and hints of citrus and hop bitterness. Drinkable but watery and uninteresting.,Pyobon
889,Scheyern Kloster-Weisse Dunkel,2.7,"Scheyern, Bavaria","Opaque brown with a thick beige head. Banana aroma  Taste is a little malt and spice, but after all rather mild. Drinkable.",Piepenhenrich
890,Son of Sid Muck Cart Mild,2.9,"Little Gransden, Cambridgeshire",3.0%. På GBBF Winter 2020 i Birmingham. Delt med Rune. Svart. Mokkafarget filmskum. Aroma av mørk sjokolade. Smaken lett. Litt lakris. Tørr avslutning. Kakao.,Finn
891,Stone Ripper,4.0,"Escondido, California","33cl can from Geers. Brewed in Berlin. Doesn't taste too German so I figure the hops and recipe made it across the atlantic. Pours golden to light copper, very frothy creamy head. Nose is green hops, resin. Not too tropical. Excellent bitter balance for this ABV. MF is refreshing, finish is short to medium, with a balanced fading bitterness. A true summer session pale ale.",Bontus
892,Track Sonoma,3.8,"Manchester, Greater Manchester","Vi er benket langs bordet og selvsagt topp motiverte for nok en kveld med inntak av primærprofylakse, rundhåndet distribuert av seremonimester Melberg, feb-20. Kveldens første er en lettøl, som med sin elegante fruktige letthet (tropiske frukter, søt citrus og et streifav furunål) imponerer samtlige deltakere. Fra fat, og utseendet er upåklagelig.",Holmen1
893,Fuller's ESB (Pasteurised),2.3,"Chiswick, Greater London","The bottle I have states 5,9% ABV, not 5,5% as for the other ESB, so I post my rating here.

Amber and clear with a thin head.
Smell of roasted malts. Bitter at the attack, later the malty component develops. Weak bodied and low carbonation.",ophone
894,Froth Blowers Piffle Snonker,3.1,"Birmingham, Erdington, West Midlands",A bit too harsh on the bitterness. Astringent. Cask served from The Wellington in Birmingham.,bdleedahl
895,Salopian Purr,2.7,"Hadnall, Shropshire",På GBBF Winter 2020 i Birmingham. Delt med Rune. Gylden. Filmskum. Aroma av krydder & tropisk frukt. Smaken det samme. Lett tørr avslutning.,Finn
896,Salopian Kashmir,3.2,"Hadnall, Shropshire",På GBBF Winter 2020 i Birmingham. Delt med Rune. Gylden. Luftig filmskum. Ferskenaroma. Myk munnfølelse. Smaken ananas. Tørr sitruspreget avslutning.,Finn
897,"Collective Arts Sour Dry Hopped Ale with Peach, Passion Fruit & Raspberry",3.8,"Hamilton, Ontario","Can, 0.473l. Aroma of raspberry, passion fruit, white wine, tannins and yeast. Pours hazy pinky orange color with totally diminishing off-white head and average sparkling appearance. Taste starts light sweet and sour grainy and citrusy, follows by tart passion fruit, peach, berries and tannins with smooth and rather dry mouthfeel. Light to medium body, slick texture and average carbonation in palate. Refreshing arts...",Kita
898,Black Country Bradleys  Finest Golden,3.6,"Kingswinford, West Midlands","On cask, real ale, very neutral but clean with the body rounding out the overall impression. Wellington birmingham",bdleedahl
899,Zoller-Hof Spezial-Export,2.0,"Sigmaringen, Baden-Württemberg","Flaska från Systembolaget. Halmgul vätska. Brödig, med drag åt sötbrödhållet, doft. Tunn och vattnig med en lätt maltsötma som nödtorftigt matchas av en svag beska. Inget kul öl.",Peter_L
900,Northern Monk / By The River Northern Powerhouse Brew Series 2019 007,4.5,"Leeds, West Yorkshire","440ml can brewed in England at 10%. Ultra dark brown, nearly black in the glass. Small, shortish-lasting head, only somewhat off-white. Maple and chocolate syrup aroma. Next to no carbonation. Medium thickness, part of what makes it an Imperial Brown and not a Stout. Initial hop hit (Northern Monk is usually good with this; I wish they'd listed the hops used!) adds a punch and some bitterness (mild, mind) to balance the ensuing sweetness of developing chocolate syrup with a caramel tint and maple syrup that are the main thrusts of this beer. Absolutely delish. In the finish, brown and toasty malts make themselves known alongside a cocoa powder/coffee powder element, rounding things off with a mocha tint. Delightful. Can it beat the legendary Founders' similar offerings? No, but it sure stands alongside them. Superb tipple, for me the star in the 2019 Northern Powerhouse firmament. As a Maple Imperial Brown, it could be called a bit generic - but is that really a negative? I'd say that means this is the one by which the rest of the brews in the style get to define themselves. Good luck tracking one of these down - frankly, it'd be a crying shame if this were merely a one-off. Northern Monk, By The River - give us another one, do!",LagerGuide122
901,Rowton Area 51,2.7,"Telford, Shropshire",På GBBF Winter 2020 i Birmingham. Delt med Rune. Gylden. 0 skum. Lett grapefruktaroma. Smaken søtgrapefrukt. Tørr bitter avslutning.,Finn
902,Nethergate Old Growler (Cask),3.6,"Long Melford, Suffolk",Nice clean cask flat dark ale but a great round body and clean everything. Wellington birmingham,bdleedahl
903,Redemption Rock the Kazbek,2.9,"Tottenham , Greater London",På GBBF Winter 2020 i Birmingham. Delt med Rune. Gylden. 0 skum. Aroma av overmoden sitrusfrukt. Smaken tørket tropisk frukt. Tørr avslutning.,Finn
904,Kuehn Kunz Rosen Kerlig Hell,3.4,"Mainz, Rhineland-Palatinate",Bottle from Erzengel. Cheers. Grassy aroma with a floral streak and underlying yeasty sour element. Light gold. Thick foamy head. Light bitter. Some tangy sourness but overall it's rather herby. Light bodied but slick. Soft-fizzy carbonation. Long dry astringent finish.,BeardedAvenger
905,Streetside Interstate Pastry Fight,3.9,"Cincinnati, Ohio","Sample at the taproom during the ""Streetside 3 Year Anniversary Bash!"" on 09/28/2019. Dark reddish-brown color with a medium thin light beige head that recedes steadily to a film. Patchy lacing. Aroma of  malt, chocolate, vanilla and coffee. Medium to full-bodied with flavors of roasted malt, vanilla fudge and mild roast coffee. The finish is sweet with a chocolatey aftertaste.",Dogbrick
906,Brewhouse & Kitchen (Chester) - Sunset Curfew,3.2,"Chester, Cheshire","[email protected] B&K Chester. Złoty kolor, biała, średnia piana,która ładnie utrzymuje się w szkle. Słód,karmel,słabe tropiki ,trochę białych owoców pestkowych. Średnia ,cytrusowa goryczka ,trochę trawy. Wysycenie raczej małe,lekko oleiste",MarcinG
907,Sierra Nevada Pale Ale (Bottle/Can),4.2,"Chico, California","Bouteille 35,5cl
Mousse : Fines couche et collerettes blanches
Couleur : Robe orangée  à ambrée
Nez : Malt épicé, houblon herbeux, douceur fruitée tropical
Bouche : Attaque douce, bouquet malt et houblon, herbe, biscuit. Seconde bouche miel, épices, houblon herbeux, fruité, caramel épicé et touche résineux / amer et citron. Finition complexe : malt doux bonbon au miel à caramel, épicé, fruité, résineux et en toute fin retour sur l’amertume herbeuse très persistante en longueur.
Avis : Superbe complexité et originalité, saveurs riches et puissantes,  pour titrage modeste, qui va bien au-delà d’une simple Pale Ale.
",m_kennedy
908,Brooklyn East IPA / India Pale Ale,4.1,"Brooklyn, New York","0,355 l bottle from Systembolaget, Gothenburg. Good and drinkable IPA, long time known and tasted",margus7
909,Streetside / Mash Cult Barleywine Es La Vida,3.9,"Cincinnati, Ohio","Sample at the taproom during the ""Streetside 3 Year Anniversary Bash!"" on 09/28/2019. Clear dark amber color with a medium off-white head that diminishes gradually to a dense film. Small patches of lace. Aroma of bourbon, malt, fruit and hops. Full-bodied with flavors of oaky bourbon, caramel malt, vanilla and mild earthy hop. The finish is oaky with a bourbon and malt aftertaste. Pretty good overall.",Dogbrick
910,Magic Rock Saucery,3.7,"Huddersfield, West Yorkshire","Can: Hazy yellow color, white head. Aroma is tropical, fruity. Flavor is also fruity, tropical, lychee, hoppy. Nice one.",Geiserich
911,FrauGruber Black Sun,3.7,"Gundelfingen , Bavaria","Can picked up from Liebick Getränkemarkt, Germering and consumed at home Attenkirchen, Wednesday 5th February 2020, cooking Spaghetti Bolognese and listening to Steve Lamaq on 6Music. A superb stout ok it's a little hoppy and some might suggest it blurs the line between Stout and Black IPA, roastiness and with a really good softness. A touch of burnt toast, dry finish. Very good.",Fin
912,AJ's Ales Stuck In The Mud,3.5,"Walsall, West Midlands","Nice round beer. Clean and full, velvety, mild and dark but balanced. On cask, real ale at the wellington birmingham",bdleedahl
913,Brewhouse & Kitchen (Chester) - Deva Victrix,3.0,"Chester, Cheshire","Pint @ B&K Chester. Złoty kolor. Piana średnia,biała,opada powoli. Dominuje słód,karmel,białe owoce,trochę nut kwiatowych. Cytrusy bardzo słabe. Ogólnie jest raczej słodko. Średnie wysycenie",MarcinG
914,Schanzenbräu Kehlengold,3.8,"Nürnberg, Bavaria","Bottle @ Hopfen und Malz, Berlin. Pours amber copper with a small creamy white head. Nutty and caramelly with a good grassy and floral hop appearance. Its crisp and dry with a fairly dry bitter finish. Soft mouthfeel. Excellent",Dedollewaitor
915,Hofbräu München Schwarze Weisse,2.7,"Munich, Bavaria","500 ml bottle. Cloudy dark brown, foamy head. Caramel, citrus, banana, clove. Mild dryness. Light bodied, watery texture, fizzy carbonated, dry watery finish. Not great.",tgrtnr
916,Voelkel Apfel-Cidre,2.9,"Höhbeck OT Pevestorf, Lower Saxony","Bottle at home. Pours pale golden color, no head. Aroma of apples, taste is really sweet.",MisoW
917,Jennings Cumberland (Bottle),3.0,"Cockermouth, Cumbria",Bottle at home ... I Wone a UK box as rraffle prize was surprised to discover id had all the beers but 4 of them not in the Bottle Rating ... Golden amber ... thin light tan lacing ... soft sweet yeasty nose ... its got a wierd medicinal yeasty tone ... soft fruit ... light metalic touch .. its just npot me.,cgarvieuk
918,Perlenbacher Shandy,2.0,"Neckarsulm, Baden-Württemberg",Dost vodový a uměle sladký radler/shandy velice světlé barvy. Docela chemický.  Měl jsem lepší i v rámci tohoto pseudostylu.,z87
919,DAB D-Pils,3.3,"Dortmund, North Rhine-Westphalia","Mocno nagazowane, piana grubo pęcherzykowa szybko znika, idealnie klarowne. Roma dni jakiś super intensywny, chmielowo słodowy. Odczucie w ustach całkiem pełne, nagazowanie mocne, przez co daje odczucie zapchania, goryczka jest, nie jakaś intensywna ale jest. Ziołowa lekko trawiasta. Nie jest to jakiś super wyjątkowe piwo ale ciekawszy od zwykłych lagerow. Na pewno słabszy niż pils.",balwanekfigo
920,Fürst Carl Urhell Lagerbier,3.1,"Ellingen, Bavaria","Bottle 33cl. @home poured into a footed pilsner glass. Clear medium golden, good frothy white head, mostly diminishing, fair lacing. Aroma sweet malt, grain, grass, draff. Taste medium sweet and light bitter, malty, grain, straw, iron notes. Medium body, watery texture, soft carbonation, sweetbitter aftertaste, paper notes, iron notes linger on, average helles.",blackisle
921,Southern Tier Blackwater Series: Nitro Hot Cocoa,3.9,"Lakewood, New York","This was a non-nitro pour of this beer from a tap. Not sure if a separate beer should be added. Anyhoo, pours a near black, slim hot choclate colored head. As expected, big milk chocolate aroma. Flavor is cocoa powder, some lactose roundness in the mouthfeel. Not sure how this is different from their chocolate milkshake stout. Pretty good beer, if very sweet.",Quick3Beers
922,Weihenstephaner Hefeweissbier,4.0,"Freising, Bavaria",Flaska från Systembolaget. Gyllengul grumlig vätska med tjock vitt skum. Tydliga aromer av gräs och örter och frukter. Skumbananen finns också där. Brödig i smaken och örtighet återkommer. Lätt syrligt avslut. Bra munfyllnad och angenäm eftersmak.,Peter_L
923,Salt Jute Session IPA,3.5,"Saltaire, West Yorkshire","Puszka. Mętne o jasno-złotym kolorze. Piana biała,średnia opada szybko. Aromat ananasa,kiwi, mirabelek i agrestu,w tle cytrusy. W smaku więcej owoców tropikalnych,ananas ,żółty melon,grejpfruty,mirabelki i morele. Trochę ziarnistych tonów. Średnie wysycenie,średnia goryczka. Fajne",MarcinG
924,Cloudwater It Is,3.9,"Manchester, Greater Manchester","440ml can brewed in England at 6.5%. Picturesque head, decent duration. Only somewhat frosty-looking golden amber, which in the light can be more orange, out of it more yellow or even hints of...jade! Papaya, mango, orange pith aroma. Moderate carbonation. Tastes of sweet gooseberry, mango, a hint of orange juice, with bready malt soaking up the fruit juices...a nice juicy IPA. Different, but straightforward and easy-drinking. Dry-hopping giving flavour without as much bitterness. Good hop showcase from Cloudwater - one of their best approaches to brewing, IMO. Nothing to rave about here, but a nice little number for sure, with no issues whatsoever.",LagerGuide122
925,Prairie Era,3.2,"Tulsa, Oklahoma","Nez: Citronné, épicé
Bouche: Citronnée, herbacée, épicée
Une ""Hoppy Farmhouse Ale""  très limpide, de couleur paille avec aucune mousse et une carbonatation forte.

Au nez, c'est citronné et épicé.

En bouche, c'est citronné avec des notes herbacées et épicées le tout est accompagné d'un côte ""crisp""

Avis: Pour le ""hoppy"", on repassera mais ça se boit bien quand même.",kanaclane
926,Holsten Premium Bier,2.4,"Hamburg, Hamburg","1L PET (Rimi, Tallinn) (5-:3:5:2:9=2.4-)
Rich gold, tight head. Sweet aroma, a bit rice puddingy, some apple esters. I could believe this is not Saku, but one of our southern neighbours, despite the ""producer"" on the label. Light palate. Watery taste, sweetish bland malts, some papery and starchy aspects. Sometimes harshish bitter finish, but mostly bland. Fine sauna beer.",FatPhil
927,Denver Beer Graham Cracker Porter,4.2,"Denver, Colorado",Malty chocolate goodness. Nice when super chilled in summer and lovely at room temperature in winter.,KrakaViking
928,Platform 5 The Black Crow,3.2,"Newton Abbot, Devon",På GBBF Winter 2020 i Birmingham. Delt med Rune. Svart. Mokkafarget skumring. Lett lakrisaroma. Smaken balansert. M>elkesjokolade. Lakris. Kakao i en langvarig avslutning.,Finn
929,Green Flash Double Columbus IPA,3.2,"San Diego, California","January 18th, 2014 - My best guess is that this beer is going to be a gob smack of Columbus hops, practically dripping out of the bottle with resin and pine. And that's exactly what I get. But before I get to the very succinct review (half of the word count is ""resin""), I want to admire the look, which in this slightly fluted glass has a beautiful auburn color with a good finger of head, and a rich population of geysers. The aroma is sticky, fresh and resinous, and direct with it's hop profile, as expected. The flavor has one foot in the pine camp and the other in a rusty metallic taste. It is intense, and squeezes a long line of honey through the taste to give this a super sweet flavor, which gets tiring by the end of the glass. But those first few bold sips are fine to get an idea of how strong a directly and forward Columbus hops based beer can be.",GarrettB
930,Track / To Øl Destination On Your Left,3.2,"Manchester, Greater Manchester","Flaska. Lätt disig guldfärgad med ett vitt skum som snart lägger sig. Dofter av citron, apelsin, vitt vin och äppelkaka. Smakinslag av grapefrukt, söt malt, citron, äppelkaka och örter. Syrlig avslutning. Väldigt kolsyrig, gör det svårt att dricka.",mzaar
931,Wylam Scenarios For Disruption,3.6,"Newcastle upon Tyne , Tyne & Wear",Poured hazy pale golden body with thin lace top. Aroma has lemon rind and pineapple. Taste is medium sweet juicy fruit with light sudsy bitterness following on. Palate is medium bodied clammy feel soft carbonation and a bitter finish. Commendably full flavoured for the abv.,theprof
932,Penpont Winters Ale,2.8,"Altarnun, Cornwall",På GBBF Winter 2020 i Birmingham. Delt med Rune. Dyp gyldenbrun. Filmskum. Lett nøttearoma. Smaken malt & krydder. Tørr avslutning.,Finn
933,BrewDog USA Stout AF,3.3,"Canal Winchester, Ohio","Toasted cheerios on the nose. Black, medium beige head, nice lace. Light to medium body, easy carbonation. Charcoal, cardboard.",obguthr
934,Eichbaum Extra Stout,3.4,"Mannheim, Baden-Württemberg","Clear brown, transparent, unstable sparkling brown head.

Sweet roasted malty and sugary nose.
Sweet with some roasted bitterness and light acidity.

Flavour: roasted malty with some caramel topping and chocolate, some walnut like iodine notes.

Definitely not what did you expect from stout, however drinkable macro dunkles bock.",artemb
935,Great Divide Yeti Imperial Stout - Chai,3.6,"Denver, Colorado","Tap at FOB, Rimini, Italy. Pours black with a fine dark brown foam, very creamy and high, persistent as well. Aroma, with the beer protected by such a thick foam, is delicate, of cocoa beans, licorice stick, vanilla. But warning up, the ginger becomes more evident. Body is average, maybe a little in the dense side, with moderate carbonation. Taste is pretty bitter and roasty, with a long final too. Overall, I expected more, although it hides the alcohol rather well.",rumore
936,Penpont Beast of Bodmin Moor Reserve,3.0,"Altarnun, Cornwall",På GBBF Winter 2020 i Birmingham. Delt med Rune. Amber. Filmskum. Aroma av malt & fersken. Smaken søte bær. Lett tørr avslutning.,Finn
937,Lagunitas Willettized Coffee Stout,3.8,"Petaluma, California",Flaska från Systembolaget. Svart vätska med tunt och gräddigt skum. Massor av choklad i doft. Choklad och kaffe i smaken. Längst bak framträder även röda bär. Len och mycket fyllig där den eldiga eftersmaken kapslas in elegant.,Peter_L
938,Brooklyn Special Effects,3.0,"Brooklyn, New York","355 ml bottle brewed by Carlsberg Sweden. Clear amber golden colour with a thin white head. Fruity aroma with citrus, pines and caramel malts. Taste is bitter. Lighter body. Dry and bitter finish with citrus fruit and pines. Nice N.A.",brnandersen
939,Penpont An Howl,3.2,"Altarnun, Cornwall",På GBBF Winter 2020 i Birmingham. Delt med Rune. Gylden. Filmskum. Aroma av klementin. Smaken tørr fersken. Tørr bitter avslutning.,Finn
940,Pomona Island Aquarius and My Name is Ralph,3.8,"Salford, Greater Manchester","440ml can @Chez Sophie. Solid bit of haze kit here, unclear golden orange, white froth, plenty of luscious exotics, of which come to fruition on the palate, pokey grapefruit, leafy pine, soft resin, mango.. Some sherbet hints coming into play as the carbonation starts to wind down but on the whole I'm likin this.",minutemat
941,Sarajevsko Kruska,0.9,"Sarajevo, Bosnia and Herzegovina","Zlatnozute boje, bez pjene. Skoro bez arome, samo blago neugodne metalne i arome vlaznog kartona, kruška neprimjetna. Slatko, kratkog slatkog finiša. Vodene teksture, jake karbonizacije. Veliki promašaj, čak ni ne liči na regularni radler!",BojanM
942,Braukollektiv Jacques West Coast IPA,3.9,"Freiburg im Breisgau, Baden-Württemberg","Bottle picked up from Liebick Getränkemarkt, Germering and consumed at home Attenkirchen, Wednesday 5th February 2020, cooking Spaghetti Bolognese and listening to Steve Lamaq on 6Music. A little peppery both on nose and on the tongue, but with a lovely bittersweet hoppiness, a very good beer. So pleased to see West Coast IPAs on their way back.",Fin
943,Out There Space is the Place,2.9,"Newcastle Upon Tyne, Tyne & Wear",På GBBF Winter 2020 i Birmingham. Delt med Rune. Mørk amber. Filmskum. Litt uklar. Sukkertøyaroma. Smaken en mild utgave av Kongen av Danmark. Lett tørr avslutning.,Finn
944,Out There Alpha Lupi,2.4,"Newcastle Upon Tyne, Tyne & Wear",På GBBF Winter 2020 i Birmingham. Delt med Rune.  Gusjegrågul. Filmskum. Uklar. Aroma av sitrusfrukt. Smaken tung fruktig. Plommer. Sånn passe.,Finn
945,Wychwood Hobgoblin (Bottle),3.7,"Witney, Oxfordshire","For the style this beer is pretty good and very enjoyable. The aroma and the flavors remind you some belgian Trappist beer little bit. And it has amazing malty finish. Also here you get massive caramel notes.
Overall perhaps my personal favorite for the style. This beers is more rich and more pleasand to me.",BarrelMonger107
